代码		名称    		涨幅%		现价		涨跌		涨速%		DDE净量		总手		换手%		量比		所属行业		现手		开盘		昨收		最高		最低		买价		卖价		市盈(动)		市净率		买量		卖量		委比%		振幅%		金额		均笔额		笔数		手/笔		外盘		内盘		总市值		流通市值		贡献度		
SH600136	当代明诚	+4.44		18.60		+0.79		+0.05		-0.03		9879258		2.87		1.22		传媒		2000↑		17.97		17.81		18.89		17.35		18.58		18.59		41.14		3.53		10800		42200		-65.20		8.65		180,083,620	16699.15	10784		916		5033099		4846159		9061588734	6404172324	--		
SH600146	商赢环球	+2.25		28.63		+0.63		-0.80		0.27		9380262		4.69		2.67		服装家纺	2800--		27.84		28.00		29.24		25.30		28.53		28.57		328.9		4.41		200		7200		-89.56		14.07		253,729,450	48292.62	5254		1785		4248022		5132240		13455241100	5726000000	--		
SH600171	上海贝岭	-6.07		15.01		-0.97		+0.07		-1.19		51485245	7.64		0.83		半导体及元件	2900↑		16.18		15.98		16.27		14.73		15.02		15.03		139.4		4.29		700		300		+20.36		9.64		786,366,530	18215.58	43170		1193		22372554	29112691	10501138745	10113854628	--		
SH600180	瑞茂通		-1.76		11.19		-0.20		-0.53		-0.01		2963630		0.336		0.50		贸易		9800↓		11.37		11.39		11.48		11.06		11.20		11.21		10.92		2.08		2000		1300		+30.47		3.69		33,330,187	9417.97		3539		837		1050572		1913058		11374382777	9865315379	--		
SH600182	S佳通		+1.71		26.75		+0.45		-0.26		0.07		2108889		1.24		1.19		化工合成材料	1800↑		26.54		26.30		26.90		26.36		26.73		26.77		102.8		10.28		500		4500		-48.41		2.05		56,376,737	19247.78	2929		720		1227524		881365		9095000000	4547500000	--		
SH600184	光电股份	+3.95		17.09		+0.65		-0.18		-0.01		2000088		0.478		1.35		国防军工	500↓		16.22		16.44		17.46		16.22		17.06		17.09		674.8		3.81		3200		2000		-59.14		7.54		34,006,152	7553.57		4502		444		1320412		679676		8694722585	7156622585	--		
SH600185	格力地产	+1.60		5.70		+0.09		+0.00		0.00		8761611		0.425		0.57		房地产开发	2000↓		5.68		5.61		5.71		5.60		5.69		5.70		18.81		1.54		90700		23400		-46.07		1.96		49,549,538	19064.85	2599		3371		4731648		4029963		11742634980	11742634980	--		
SH600200	江苏吴中	+0.87		10.48		+0.09		+0.00		0.05		7212061		1.02		1.46		化学制药	2300↑		10.42		10.39		10.65		10.40		10.47		10.48		90.32		2.57		24500		5400		-14.33		2.41		75,857,993	16591.86	4572		1577		4031893		3180168		7565427741	7433653898	--		
SH600203	福日电子	+3.33		10.23		+0.33		+0.89		0.49		14425866	4.01		1.94		通信设备	200↑		9.93		9.90		10.89		9.84		10.21		10.22		36.23		2.29		99800		1500		+25.13		10.61		148,874,590	24219.06	6147		2347		8086354		6339512		4669454038	3684431583	--		
SH600206	有研新材	-3.63		10.63		-0.40		+0.19		-0.58		41885271	4.99		0.84		半导体及元件	17000↑		11.16		11.03		11.29		10.36		10.63		10.64		966.6		3.12		20300		1000		+20.05		8.43		447,833,780	19038.93	23522		1781		18066006	23819265	9004442648	8916213648	--		
SH600211	西藏药业	-10.00		38.69		-4.30		+0.00		-0.31		3717414		2.55		3.26		生物制品	100↑		42.00		42.99		42.29		38.69		--		38.69		25.30		3.37		0		42000		-100.00		8.37		147,188,360	22156.91	6643		560		1745392		1972022		6949467235	5632838410	--		
