代码		名称    		涨幅%		现价		涨跌		涨速%		DDE净量		总手		换手%		量比		所属行业		现手		开盘		昨收		最高		最低		买价		卖价		市盈(动)		市净率		买量		卖量		委比%		振幅%		金额		均笔额		笔数		手/笔		外盘		内盘		总市值		流通市值		贡献度		 
SH601908	京运通		+1.23		4.95		+0.06		--		0.02		5718700		0.287		0.84		电气设备	100--		4.90		4.89		4.98		4.87		4.94		4.95		15.80		1.47		63400		116800		-37.56		2.25		28,251,806	8545.62		3306		1730		2796100		2922600		9876723615	9865437615	--		
SH601965	中国汽研	+1.67		8.54		+0.14		--		0.01		2146850		0.223		1.34		交运设备服务	1900--		8.46		8.40		8.56		8.40		8.53		8.54		23.78		1.89		25900		2100		-46.36		1.90		18,215,601	10986.49	1658		1295		1037899		1108951		8284930440	8208476090	--		
SH603005	晶方科技	-1.91		31.83		-0.62		--		-0.31		6345440		3.70		0.68		半导体及元件	4500--		32.80		32.45		32.88		30.92		31.83		31.86		177.1		4.10		4100		200		+25.33		6.04		201,001,800	20102.19	9999		635		2889731		3455709		7407062537	5463577484	--		
SH603008	喜临门		-0.06		17.92		-0.01		--		0.07		1766960		0.561		0.91		家用轻工	500--		17.93		17.93		18.16		17.79		17.91		17.92		33.15		2.56		5300		8500		-37.06		2.06		31,762,062	16304.96	1948		907		812400		954560		7075851597	5644800000	--		
SH603009	北特科技	+7.85		12.92		+0.94		--		0.25		21613275	6.74		2.11		汽车零部件	4700--		12.08		11.98		13.10		12.00		12.88		12.91		48.47		2.77		4150		1600		-7.91		9.18		274,680,870	12482.09	22006		982		13086132	8527143		4505812274	4142993350	--		
SH603010	万盛股份	-2.87		26.43		-0.78		--		-0.06		3726901		1.69		1.06		化学制品	700--		27.14		27.21		27.65		25.85		26.39		26.40		327.3		6.09		5300		1700		+18.64		6.62		98,744,365	22668.59	4356		856		1421340		2305561		6723580031	5814600000	--		
SH603015	弘讯科技	-1.35		8.03		-0.11		--		-0.08		2372832		0.593		0.80		电气设备	1600--		8.14		8.14		8.20		8.02		8.03		8.04		31.74		2.67		1000		17600		+31.42		2.21		19,213,166	9913.91		1938		1224		783632		1589200		3269816000	3213606000	--		
SH603016	新宏泰		+0.19		21.66		+0.04		--		-0.13		2136300		3.03		0.44		电气设备	12400--		21.76		21.62		21.90		21.05		21.65		21.68		59.66		3.89		500		4500		-40.81		3.93		45,914,986	13441.16	3416		625		1007624		1128676		3226473600	1526163600	--		
SH603019	中科曙光	-2.93		50.00		-1.51		--		-0.37		35954389	5.59		1.02		计算机设备	1500--		52.10		51.51		52.20		48.68		49.97		49.98		352.4		10.17		800		29800		-74.51		6.83		1,792,928,900	30849.27	58119		619		16022122	19932267	32151198500	32151198500	--		
SH603026	石大胜华	+3.76		20.69		+0.75		--		0.41		5880941		4.19		1.84		化工新材料	2500--		20.39		19.94		20.98		20.29		20.69		20.70		15.63		2.57		500		10100		-9.28		3.46		121,706,715	17256.02	7053		834		3189581		2691360		4193449200	2905446010	--		
SH603027	千禾味业	-4.20		18.26		-0.80		--		0.14		8507917		6.39		1.59		食品加工制造	3700--		18.50		19.06		18.54		17.80		18.25		18.27		13.53		5.08		13200		1400		+43.07		3.88		155,175,910	16197.90	9580		888		3145064		5362853		5952489752	2432054367	--		
SH603029	天鹅股份	-1.84		20.75		-0.39		--		0.29		1401796		3.84		0.76		专用设备	200--		21.05		21.14		21.51		20.53		20.75		20.76		543.5		2.72		4400		1900		+2.95		4.64		29,483,511	11898.11	2478		566		616356		785440		1936805000	757903295	--		
SH603030	全筑股份	-1.00		7.93		-0.08		--		-0.12		3336284		0.627		0.78		建筑装饰	34500--		8.01		8.01		8.06		7.75		7.96		7.97		28.15		2.62		267200		14300		+47.79		3.87		26,278,434	8920.04		2946		1132		1930228		1406056		4271211637	4219420807	--		
SH603031	安德利		+1.78		24.02		+0.42		--		0.14		842300		2.11		0.95		零售		500--		23.60		23.60		24.07		23.50		23.99		24.00		85.90		3.12		3300		1600		-16.04		2.42		20,158,374	18613.46	1083		778		472746		369554		1921600000	958431628	--		
SH603035	常熟汽饰	+0.61		14.81		+0.09		--		-0.03		2772720		1.61		1.39		汽车零部件	500--		14.80		14.72		15.12		14.65		14.81		14.84		11.71		1.72		5000		500		-56.78		3.19		41,250,510	18180.04	2269		1222		1133524		1639196		4146800000	2550495708	--		
SH603037	凯众股份	+2.82		25.56		+0.70		--		0.04		1190920		1.94		1.87		汽车零部件	500--		25.07		24.86		25.99		25.05		25.52		25.57		15.61		3.35		4400		500		-39.71		3.78		30,499,832	19242.80	1585		751		645200		545720		2707384212	1571056340	--		
SH603038	华立股份	-0.22		37.10		-0.08		--		0.04		215400		0.807		0.87		家用轻工	2000--		37.65		37.18		37.81		36.75		36.97		37.15		73.59		2.63		1000		600		+0.99		2.85		7,987,099	15847.42	504		427		77100		138300		2491376300	990570000	--		
SH603039	泛微网络	-6.19		101.56		-6.70		--		0.12		824221		3.06		1.11		计算机应用	200--		110.00		108.26		113.00		101.00		101.55		102.00		125.4		11.45		100		300		+35.35		11.08		86,392,172	27218.71	3174		260		344571		479650		7035051044	2738057600	--		
SH603040	新坐标		+0.53		63.00		+0.33		--		0.01		232000		0.967		0.54		通用设备	300--		63.12		62.67		63.63		62.67		62.90		63.01		36.65		6.29		200		200		-30.77		1.53		14,621,753	15588.22	938		247		89500		142500		3847995900	1512000000	--		
SH603042	华脉科技	-4.12		27.00		-1.16		--		-0.51		4681033		13.77		0.86		通信设备	100--		27.87		28.16		28.69		26.88		27.01		27.02		112.4		4.23		4300		1800		+50.00		6.43		129,337,803	13205.82	9794		478		1989809		2691224		3744090000	918000000	--		
SH603055	台华新材	+2.39		15.00		+0.35		--		-0.01		2183789		3.23		0.78		纺织制造	3000--		14.79		14.65		15.09		14.43		14.98		14.99		26.34		3.48		4200		900		+10.01		4.51		32,511,523	13781.91	2359		926		1206512		977277		8214000000	1014000000	--		
SH603056	德邦股份	-0.04		27.24		-0.01		--		-0.05		6705436		6.71		0.59		物流		2779--		27.48		27.25		27.68		26.26		27.22		27.23		65.49		7.29		1500		421		-3.37		5.21		181,345,300	15309.86	11845		566		3279556		3425880		26150400000	2724000000	--		
SH603067	振华股份	+1.65		14.15		+0.23		--		0.07		5664500		5.10		0.54		基础化学	3000--		14.23		13.92		14.39		13.97		14.13		14.16		16.78		2.67		4700		17400		-19.04		3.02		80,466,024	12760.23	6306		898		2649800		3014700		3113000000	1572765425	--		
SH603076	乐惠国际	-5.53		32.94		-1.93		--		-0.28		1825500		9.79		0.95		专用设备	10300--		33.89		34.87		33.93		31.41		32.86		33.00		33.63		3.09		1300		1500		+32.48		7.23		59,698,143	18003.06	3316		551		754000		1071500		2454030000	614331000	--		
SH603085	天成自控	+0.00		27.65		+0.00		--		0.55		2658332		3.37		0.68		汽车零部件	20000--		27.65		27.65		27.78		26.68		27.64		27.66		135.9		6.23		5600		400		-36.02		3.98		72,720,074	28284.74	2571		1034		1362946		1295386		6189051299	2183021086	--		
SH603086	先达股份	+2.16		34.58		+0.73		--		-0.17		1347200		6.74		0.96		化学制品	2200--		34.30		33.85		34.79		33.76		34.56		34.59		23.97		2.40		1300		4500		-30.37		3.04		46,289,750	17976.60	2575		523		731400		615800		2766400000	691600000	--		
SH603089	正裕工业	+0.84		22.79		+0.19		--		0.26		873618		2.78		0.74		汽车零部件	5500--		22.51		22.60		22.87		22.20		22.78		22.79		288.3		3.41		1600		28300		-69.23		2.96		19,814,094	15371.68	1289		678		338818		534800		2431009300	716856715	--		
SH603096	新经典		+1.08		77.92		+0.83		--		-0.04		270832		0.515		0.43		传媒		700--		76.25		77.09		78.79		76.25		77.70		77.90		47.77		6.62		100		200		-59.62		3.29		21,106,251	16528.00	1277		212		180488		90344		10492707200	4100150400	--		
SH603099	长白山		-2.00		12.25		-0.25		--		-0.06		3522416		1.32		0.48		景点及旅游	500--		12.54		12.50		12.65		12.11		12.25		12.27		亏损		3.55		400		1600		+7.20		4.32		43,658,008	12023.69	3631		970		1381728		2140688		3266707500	3266707500	--		
SH603106	恒银金融	+1.82		25.11		+0.45		--		-0.00		5661486		8.09		0.47		计算机设备	4600--		24.69		24.66		25.20		24.20		25.16		25.19		55.26		4.35		2900		1000		-26.79		4.06		140,321,860	15278.95	9184		616		2665444		2996042		7030800000	1757700000	--		
SH603110	东方材料	+3.51		25.37		+0.86		--		0.06		3549597		13.83		1.11		化学制品	1000--		24.31		24.51		25.87		24.31		25.39		25.40		78.64		4.11		7900		3300		+30.87		6.36		89,632,952	14429.00	6212		571		1881050		1668547		2604654179	651164179	--		
SH603116	红蜻蜓		+1.46		14.60		+0.21		--		-0.01		1738536		0.962		1.19		服装家纺	600--		14.35		14.39		14.68		14.35		14.57		14.58		16.50		1.70		4000		2700		-27.54		2.29		25,306,266	11440.45	2212		786		859016		879520		6091120000	2638303366	--		
SH603127	昭衍新药	+2.24		83.88		+1.84		--		0.40		2438420		11.89		1.10		医疗器械服务	1300--		83.76		82.04		87.88		81.55		83.80		84.00		196.4		12.66		100		5600		-57.00		7.72		207,328,740	29982.46	6915		353		1206596		1231824		6889819320	1719540000	--		
SH603138	海量数据	-3.25		43.70		-1.47		--		-0.60		2899386		8.57		0.83		计算机应用	300--		45.62		45.17		45.73		43.23		43.72		43.74		167.7		11.99		2100		600		+28.74		5.53		127,921,549	19081.38	6704		432		1174754		1724632		4690714300	1478196200	--		
SH603158	腾龙股份	-0.55		18.07		-0.10		--		0.01		955394		0.444		1.95		汽车零部件	400--		18.18		18.17		18.24		17.77		17.97		18.07		39.56		3.86		1100		6600		-80.69		2.59		17,157,137	17365.52	988		967		409224		546170		3951095850	3891237168	--		
SH603160	汇顶科技	-10.00		95.43		-10.60		--		-0.18		1159100		0.505		0.15		半导体及元件	100--		95.43		106.03		95.43		95.43		--		95.43		559.8		12.32		0		4628836		-100.00		0		110,612,913	34882.66	3171		366		855300		303800		43340436314	21914926920	--		
SH603168	莎普爱思	-2.18		15.28		-0.34		--		-0.62		14082805	6.16		1.72		化学制药	300--		15.40		15.62		16.03		15.01		15.31		15.32		23.20		2.23		1300		6700		-41.58		6.53		218,997,930	12815.89	17088		824		6714845		7367960		3791702662	3494918000	--		
SH603181	皇马科技	-0.85		22.13		-0.19		--		-0.07		3275200		6.55		0.48		化学制品	1000--		22.70		22.32		22.84		21.90		22.08		22.09		31.55		3.36		10300		300		-39.11		4.21		73,168,359	14654.19	4993		656		1455200		1820000		4426000000	1106500000	--		
SH603189	网达软件	-5.94		16.62		-1.05		--		-1.78		11034080	10.02		2.26		计算机应用	2500--		18.50		17.67		18.95		16.59		16.65		16.69		亏损		4.60		500		5300		+3.89		13.36		194,296,310	15039.58	12919		854		5008359		6025721		3669696000	1829862000	--		
SH603198	迎驾贡酒	+3.16		15.66		+0.48		--		0.07		4659486		2.80		1.42		饮料制造	100--		15.20		15.18		15.77		15.20		15.63		15.65		9.66		2.82		2500		15500		-14.18		3.75		72,191,335	12130.96	5951		783		2761769		1897717		12528000000	2605824000	--		
SH603200	上海洗霸	+2.74		38.67		+1.03		--		0.05		636145		3.45		0.73		环保工程	8300--		37.60		37.64		39.00		37.60		38.69		38.70		55.38		3.94		1200		1500		+40.00		3.72		24,540,694	16187.79	1516		420		365621		270524		2850752400	712688100	--		
SH603229	奥翔药业	+2.34		17.93		+0.41		--		0.01		3317622		8.29		0.65		化学制药	600--		17.38		17.52		18.18		17.38		17.91		17.92		356.7		5.06		2500		500		-39.39		4.57		59,345,905	12624.10	4701		706		1737950		1579672		2868800000	717200000	--		
SH603232	格尔软件	-3.68		50.28		-1.92		--		-0.35		1398400		3.83		0.76		计算机应用	800--		52.15		52.20		53.99		49.98		50.27		50.32		470.8		5.32		200		100		-55.56		7.68		71,664,282	22932.57	3125		447		559300		839100		3067080000	1837734000	--		
SH603233	大参林		-2.82		64.51		-1.87		--		0.01		1179059		2.95		1.47		医药商业	100--		66.40		66.38		68.67		64.00		64.52		64.54		43.88		8.89		400		1300		-36.43		7.04		77,699,404	21697.68	3581		329		548697		630362		25804645100	2581045100	--		
SH603238	诺邦股份	+1.77		21.89		+0.38		--		-0.51		1510351		5.03		1.44		纺织制造	4600--		21.51		21.51		22.10		21.12		21.88		21.89		76.84		3.33		600		6500		-25.47		4.56		32,812,400	18178.61	1805		837		762928		747423		2626800000	656700000	--		
SH603260	合盛硅业	+2.33		69.04		+1.57		--		0.24		10273677	14.68		1.80		化学制品	1100--		69.19		67.47		73.32		68.70		68.95		68.98		18.35		7.65		300		300		-74.45		6.85		724,539,450	30691.72	23607		435		5605204		4668473		46256800000	4832800000	--		
SH603266	天龙股份	-4.39		27.46		-1.26		--		-2.83		8483108		33.93		4.68		化工合成材料	800--		29.08		28.72		29.71		27.35		27.42		27.43		45.56		3.34		6800		4000		+40.78		8.22		244,450,850	26444.27	9244		918		4126467		4356641		2746000000	686500000	--		
SH603268	松发股份	+1.98		27.26		+0.53		--		-0.01		449000		0.510		0.82		家用轻工	4400--		26.76		26.73		27.42		26.52		27.26		27.27		51.69		4.08		500		11475		-73.89		3.37		12,153,895	20324.24	598		751		211450		237550		2436607840	2398880000	--		
SH603283	赛腾股份	-3.51		28.08		-1.02		--		-0.48		3014398		7.54		0.82		专用设备	200--		29.10		29.10		29.30		27.81		28.03		28.10		56.02		6.87		1100		14200		-75.23		5.12		85,690,908	16204.79	5288		570		1126924		1887474		4492800000	1123200000	--		
SH603288	海天味业	-0.86		61.97		-0.54		--		-0.00		2514807		0.093		0.91		食品加工制造	100--		62.50		62.51		62.94		60.63		61.63		61.64		34.79		12.92		100		900		-72.64		3.70		154,620,120	27154.92	5694		442		1289204		1225603		167393779199	167126068799	--		
SH603289	泰瑞机器	+1.92		17.50		+0.33		--		0.07		3710796		7.28		0.59		专用设备	7800--		17.20		17.17		17.67		17.19		17.48		17.49		43.89		3.94		12200		1500		+30.22		2.80		64,767,626	13250.33	4888		759		1893467		1817329		3570000000	892500000	--		
SH603305	旭升股份	+4.74		35.33		+1.60		--		1.31		3645042		8.76		1.43		汽车零部件	2600--		33.73		33.73		37.10		33.73		35.30		35.35		64.75		11.74		2200		3200		-54.09		9.99		129,128,312	20233.20	6382		571		1777791		1867251		14153198000	1469728000	--		
SH603308	应流股份	-0.53		14.97		-0.08		--		0.02		4124919		1.03		1.04		通用设备	700--		14.80		15.05		15.01		14.62		14.97		14.98		49.49		2.27		11000		2100		+1.51		2.59		61,179,398	12619.51	4848		851		1832556		2292363		6493302470	5988149700	--		
SH603322	超讯通信	+3.80		42.36		+1.55		--		0.44		2040900		6.30		1.19		通信设备	1900--		41.00		40.81		42.80		41.00		42.33		42.35		亏损		7.01		100		2000		-83.50		4.41		85,993,562	17510.40	4911		416		1101700		939200		3388800000	1372431806	--		
SH603335	迪生力		-0.58		10.33		-0.06		--		-0.35		6111072		9.65		0.65		汽车零部件	1300--		10.29		10.39		10.55		10.13		10.33		10.34		206.7		4.73		1300		10900		-11.60		4.04		63,012,739	11902.67	5294		1154		2623772		3487300		2617002200	654302200	--		
SH603336	宏辉果蔬	-5.75		25.10		-1.53		--		-1.19		8291632		15.69		0.80		农产品加工	6800--		26.85		26.63		27.25		24.75		25.10		25.12		56.46		4.22		100		5700		+55.22		9.39		217,558,650	15133.46	14376		577		3492151		4799481		3347085000	1326059204	--		
SH603337	杰克股份	+1.14		61.21		+0.69		--		-0.04		450233		0.822		0.61		专用设备	900--		61.60		60.52		62.00		60.00		61.10		61.11		27.10		5.63		500		600		-19.61		3.30		27,561,439	11793.51	2337		193		277823		172410		12650270700	3352471700	--		
SH603345	安井食品	+2.84		31.16		+0.86		--		0.00		2693801		2.19		0.87		食品加工制造	200--		30.03		30.30		31.36		29.70		31.17		31.19		31.02		3.85		600		5807		-32.55		5.48		82,396,477	22137.69	3722		724		1601066		1092735		6731806400	3827987304	--		
SH603356	华菱精工	+1.75		24.43		+0.42		--		0.12		4433433		13.30		1.00		通用设备	4500--		24.15		24.01		24.50		23.56		24.45		24.47		71.84		4.96		100		9700		-59.65		3.92		106,988,023	14005.50	7639		580		2247011		2186422		3257496200	814496200	--		
SH603359	东珠景观	-1.12		36.94		-0.42		--		-0.47		3776034		6.64		0.67		建筑装饰	1000--		37.51		37.36		38.25		36.85		36.85		36.90		28.69		3.40		700		400		+32.00		3.75		141,671,700	21256.07	6665		567		1738666		2037368		8407544000	2101886000	--		
SH603367	辰欣药业	+0.67		28.72		+0.19		--		-1.39		7911191		7.91		0.86		化学制药	3000--		28.47		28.53		29.65		28.47		28.73		28.75		27.15		3.38		2800		300		+28.69		4.14		230,406,680	19537.58	11793		671		3833764		4077427		13020298160	2872000000	--		
SH603368	柳州医药	+2.10		51.00		+1.05		--		0.03		1447106		0.989		1.05		医药商业	600--		50.27		49.95		51.80		49.78		51.00		51.01		20.83		2.62		1105		2800		-79.57		4.04		73,952,945	19278.66	3836		377		692249		754857		9437675460	7458750000	--		
SH603369	今世缘		+2.26		16.71		+0.37		--		-0.10		10058380	0.802		0.93		饮料制造	2300--		16.55		16.34		16.85		16.37		16.71		16.72		10.29		3.63		2900		35300		-60.88		2.94		167,253,340	13359.96	12519		803		6274899		3783481		20962695000	20962695000	--		
SH603378	亚士创能	+1.67		20.76		+0.34		--		-0.04		4554085		9.29		0.55		建筑材料	11000--		20.42		20.42		20.86		20.06		20.74		20.76		亏损		3.18		100		3600		-46.89		3.92		93,595,542	13590.18	6887		661		2354785		2199300		4044048000	1017240000	--		
SH603380	易德龙		+3.98		21.18		+0.81		--		0.57		3627129		9.07		1.37		电子制造	1000--		20.52		20.37		21.74		20.52		21.17		21.18		39.36		4.73		17900		400		+36.11		5.99		77,010,021	14895.56	5170		702		1967687		1659442		3388800000	847200000	--		
SH603383	顶点软件	-8.56		60.03		-5.62		--		-0.98		5714106		27.15		0.76		计算机应用	2200--		64.78		65.65		65.43		59.09		60.05		60.08		420.8		5.47		300		1900		+51.13		9.66		353,922,530	19795.43	17879		320		2293906		3420200		5154596010	1263631500	--		
SH603386	广东骏亚	+5.33		17.98		+0.91		--		5.02		15580655	30.85		1.80		半导体及元件	400--		17.78		17.07		18.78		17.78		17.97		17.98		58.45		5.75		9500		21200		-18.00		5.86		286,949,980	18763.49	15293		1019		5021553		10559102	3628364000	907990000	--		
SH603387	基蛋生物	-2.68		73.02		-2.01		--		-0.46		4485803		13.59		1.28		生物制品	600--		75.38		75.03		77.98		72.61		72.90		73.00		36.46		8.01		700		2000		+4.55		7.16		337,859,870	29065.71	11624		386		2034658		2451145		9703567559	2409660000	--		
SH603396	金辰股份	-4.70		37.28		-1.84		--		-0.38		1529500		8.10		0.70		专用设备	100--		39.35		39.12		39.40		36.02		37.24		37.35		36.94		3.33		1500		1900		+42.11		8.64		57,584,362	15446.45	3728		410		626900		902600		2816752546	704219200	--		
SH603399	吉翔股份	+1.11		18.24		+0.20		--		0.07		2702940		0.541		0.55		有色冶炼加工	1500--		18.18		18.04		18.38		17.81		18.23		18.24		59.30		4.59		3200		6600		-23.60		3.16		48,967,001	15326.13	3195		846		1413342		1289598		9972731856	9106331856	--		
SH603416	信捷电气	-1.53		30.34		-0.47		--		-0.10		436930		1.24		0.78		电气设备	800--		31.00		30.81		31.19		30.02		30.34		30.37		39.02		4.86		400		500		-0.93		3.80		13,270,074	16104.46	824		530		140147		296783		4264590400	1066147600	--		
SH603421	鼎信通讯	-2.23		23.64		-0.54		--		-0.40		4575995		10.54		0.56		通信设备	400--		24.64		24.18		25.00		23.10		23.63		23.64		86.37		4.85		2600		1000		-21.76		7.86		109,651,938	14886.23	7366		621		1975876		2600119		10475014020	1025976000	--		
SH603429	集友股份	+0.76		41.13		+0.31		--		0.07		493290		1.45		0.26		包装印刷	300--		41.39		40.82		41.39		40.02		41.02		41.11		45.83		9.95		600		1300		-1.96		3.36		20,072,381	16910.18	1187		416		221436		271854		5593680000	1398420000	--		
SH603466	风语筑		+3.96		70.43		+2.68		--		0.29		3634496		10.10		0.96		传媒		4200--		68.10		67.75		70.67		67.22		70.40		70.50		36.19		7.53		2600		900		+15.07		5.09		251,794,560	26724.11	9422		386		2040759		1593737		10281054465	2535480000	--		
SH603496	恒为科技	-3.37		35.58		-1.24		--		-0.81		1921955		7.69		0.51		计算机设备	500--		36.52		36.82		37.13		35.20		35.56		35.64		46.90		5.28		1300		5300		+26.39		5.24		69,060,121	20407.84	3384		568		763278		1158677		3558000000	889500000	--		
SH603501	韦尔股份	-3.60		37.49		-1.40		--		-0.33		3500835		8.42		0.66		半导体及元件	1900--		38.96		38.89		39.99		37.34		37.50		37.52		99.63		13.37		3700		600		+52.94		6.81		134,104,218	18056.31	7427		471		1399104		2101731		17088464611	1559584000	--		
SH603515	欧普照明	+0.94		47.26		+0.44		--		-0.06		1413473		1.44		0.62		光学光电子	100--		46.55		46.82		48.10		46.07		47.25		47.30		97.58		7.39		300		8600		-58.33		4.34		66,904,471	13999.68	4779		296		762721		650752		27386182266	4629687712	--		
SH603517	绝味食品	+2.23		40.38		+0.88		--		0.23		5346595		3.27		1.45		食品加工制造	2600--		39.50		39.50		41.40		39.08		40.36		40.39		27.49		6.10		200		3400		-52.66		5.87		216,697,150	26471.68	8186		653		2656825		2689770		16555800000	6610302912	--		
SH603519	立霸股份	-0.36		19.29		-0.07		--		0.00		204200		0.128		0.72		白色家电	300--		19.20		19.36		19.44		19.16		19.21		19.33		45.82		4.25		600		200		-70.53		1.45		3,940,357	10535.71	374		546		105300		98900		3086400000	3086400000	--		
SH603528	多伦科技	-1.04		9.55		-0.10		--		-0.47		10910313	5.82		0.74		计算机应用	7800--		9.45		9.65		9.76		9.45		9.55		9.57		39.25		4.23		1200		2900		-3.43		3.21		104,826,102	9738.58		10764		1014		4948804		5961509		5921382000	1791484500	--		
SH603535	嘉诚国际	+2.42		24.11		+0.57		--		-0.09		1489816		3.96		0.96		物流		200--		23.63		23.54		24.30		23.63		24.10		24.11		33.92		2.58		2472		100		-47.59		2.85		35,800,573	18274.92	1959		760		763032		726784		3626144000	906536000	--		
SH603555	贵人鸟		-0.04		24.67		-0.01		--		-0.00		879600		0.140		0.90		服装家纺	100--		24.68		24.68		24.86		24.56		24.66		24.67		45.50		6.43		66600		1600		+28.44		1.22		21,737,413	28526.79	762		1154		534700		344900		15507614794	15507614794	--		
SH603557	起步股份	-0.50		17.76		-0.09		--		0.13		2187472		4.65		0.53		服装家纺	4300--		17.90		17.85		18.05		17.33		17.61		17.62		66.10		5.84		5900		5700		+47.18		4.03		38,550,393	14918.88	2584		847		1069000		1118472		8346838762	834720000	--		
SH603568	伟明环保	+2.17		23.08		+0.49		--		-0.18		2502963		1.92		1.09		环保工程	35100--		22.61		22.59		23.15		22.61		23.05		23.10		22.32		6.38		800		45382		-73.38		2.39		57,481,996	11898.57	4831		518		1542333		960630		15873500800	3015125040	--		
SH603580	艾艾精工	+0.00		28.79		+0.00		--		0.19		366000		2.20		0.60		化工合成材料	400--		28.92		28.79		29.01		28.58		28.80		28.86		121.7		5.06		700		4100		+40.65		1.49		10,545,630	18276.66	577		634		148000		218000		1919429300	479929300	--		
SH603585	苏利股份	+0.31		29.32		+0.09		--		0.01		455750		1.01		0.76		化学制品	500--		29.55		29.23		29.63		29.21		29.30		29.31		18.49		2.79		300		600		+27.03		1.44		13,398,544	18008.80	744		613		167050		288700		4398000000	1319400000	--		
SH603589	口子窖		+6.08		47.25		+2.71		--		-0.06		10499907	3.58		4.85		饮料制造	900--		46.70		44.54		48.80		46.70		47.26		47.27		15.80		5.12		100		100		+78.41		4.71		500,442,080	38160.90	13114		801		5735962		4763945		28350000000	13869027900	--		
SH603595	东尼电子	-0.27		103.27		-0.28		--		0.26		621652		2.49		0.76		新材料		200--		104.50		103.55		105.98		102.00		103.54		103.55		29.95		12.81		400		2100		-49.45		3.84		64,503,569	35480.51	1818		342		308880		312772		10535192320	2581750000	--		
SH603601	再升科技	+2.86		15.13		+0.42		--		-0.03		3657521		0.947		0.86		化工新材料	2100--		15.01		14.71		15.19		14.70		15.13		15.14		45.93		4.75		9300		18500		-53.51		3.33		54,907,252	15787.02	3478		1052		2226022		1431499		5842468564	5842468564	--		
SH603605	珀莱雅		+1.96		35.89		+0.69		--		-0.01		2815286		5.63		0.74		化学制品	500--		35.49		35.20		35.97		34.35		35.86		35.88		25.66		4.70		1300		6300		-75.09		4.60		99,414,860	22340.42	4450		633		1432288		1382998		7178000000	1794500000	--		
SH603607	京华激光	+0.77		36.81		+0.28		--		-0.12		1486188		6.52		0.56		造纸		4400--		36.99		36.53		37.79		36.60		36.79		36.80		34.18		4.61		200		600		-60.13		3.26		55,168,116	16221.15	3401		437		657899		828289		3352654800	838531800	--		
SH603611	诺力股份	+0.81		21.18		+0.17		--		-0.06		1818213		1.14		2.85		专用设备	500--		21.09		21.01		21.69		21.05		21.19		21.20		25.94		2.49		307		5500		-80.33		3.05		38,829,647	15239.26	2548		714		865606		952607		4053905797	3388800000	--		
SH603617	君禾股份	-1.06		23.29		-0.25		--		-0.02		618560		2.47		0.50		通用设备	200--		23.50		23.54		23.60		23.10		23.20		23.25		28.72		4.75		2900		100		+3.13		2.12		14,420,964	17353.75	831		744		228988		389572		2329000000	582250000	--		
SH603633	徕木股份	+2.14		17.69		+0.37		--		0.05		2604273		3.14		1.53		电子制造	300--		17.35		17.32		19.00		17.35		17.69		17.70		52.61		2.99		1000		700		-21.83		9.53		46,747,042	14954.27	3126		833		1303223		1301050		2128991500	1468935993	--		
SH603636	南威软件	-3.37		11.17		-0.39		--		-0.39		13316376	2.55		0.57		计算机应用	5700--		11.53		11.56		11.73		11.12		11.17		11.18		1186		3.54		2500		4200		+70.05		5.28		150,342,830	13939.99	10785		1235		5475657		7840719		5889460132	5838668913	--		
SH603637	镇海股份	-1.98		21.82		-0.44		--		-0.11		829270		2.49		0.86		建筑装饰	4600--		22.41		22.26		23.18		21.44		21.82		21.83		143.9		4.01		7200		14680		-11.72		7.82		18,309,393	15529.60	1179		703		356960		472310		2901986161	725497326	--		
SH603638	艾迪精密	+1.32		40.83		+0.53		--		0.12		1814332		3.16		0.74		专用设备	200--		40.71		40.30		41.84		39.90		40.90		40.91		35.18		8.05		2600		1000		-72.34		4.81		74,194,694	21964.09	3378		537		935854		878478		7186080000	2344459008	--		
SH603639	海利尔		-1.15		43.80		-0.51		--		-0.30		1183789		3.05		0.99		化学制品	1200--		44.40		44.31		44.55		43.44		43.89		43.90		14.53		3.08		1800		6900		-29.94		2.51		51,969,539	21726.40	2392		495		486089		697700		5256000000	1698953338	--		
SH603648	畅联股份	+1.68		19.40		+0.32		--		0.06		4631517		5.03		0.54		物流		100--		19.20		19.08		19.49		19.05		19.38		19.39		34.20		4.48		6100		700		-49.81		2.31		89,371,184	13747.30	6501		712		2319242		2312275		7152133980	1788033980	--		
SH603656	泰禾光电	-1.10		29.56		-0.33		--		-0.17		1057340		2.34		1.02		专用设备	500--		29.95		29.89		30.44		29.28		29.56		29.62		62.45		3.74		1200		400		+80.68		3.88		31,481,509	17412.34	1808		585		479880		577460		3143528640	1337191531	--		
SH603658	安图生物	+2.39		64.67		+1.51		--		-0.18		2716020		1.99		1.32		生物制品	8300--		63.00		63.16		66.06		62.12		64.70		64.73		70.73		15.40		200		200		+8.70		6.24		176,630,460	30686.32	5756		472		1550079		1165941		27161400000	8829899526	--		
SH603663	三祥新材	+2.90		19.18		+0.54		--		-0.12		1209692		2.47		1.82		新材料		200--		18.68		18.64		19.50		18.68		19.18		19.19		30.70		5.32		1000		600		+52.87		4.40		23,294,188	12503.59	1863		649		682643		527049		2602898620	941103142	--		
